Solute_SMILES,Solvent_SMILES,T,log-gamma,source_file,solute_rdkit_valid,solute_canonical_isomeric,solute_canonical_nonisomeric,solute_rdkit_isomeric_flag,solute_heuristic_isomer_flag,solute_isomer_detection_method,solute_isomer_collision_group,solute_collision_group_id,solvent_rdkit_valid,solvent_canonical_isomeric,solvent_canonical_nonisomeric,solvent_rdkit_isomeric_flag,solvent_heuristic_isomer_flag,solvent_isomer_detection_method,solvent_isomer_collision_group,solvent_collision_group_id,isomer_subset_flag,isomer_detection_reason
C/C=C\C,CCC(CC)O,16.85,1.040276712,molecule_train.csv,True,C/C=C\C,CC=CC,True,True,rdkit+heuristic,True,solute_iso_collision_0001,True,CCC(O)CC,CCC(O)CC,False,False,none,False,,True,solute:rdkit;solute:heuristic;solute:collision
C/C=C/C,CCC(C)O,16.85,1.252762968,molecule_train.csv,True,C/C=C/C,CC=CC,True,True,rdkit+heuristic,True,solute_iso_collision_0001,True,CCC(C)O,CCC(C)O,False,False,none,False,,True,solute:rdkit;solute:heuristic;solute:collision
C/C=C/C,CC1=CC=CC=C1C,36.69,0.371563556,molecule_train.csv,True,C/C=C/C,CC=CC,True,True,rdkit+heuristic,True,solute_iso_collision_0001,True,Cc1ccccc1C,Cc1ccccc1C,False,False,none,False,,True,solute:rdkit;solute:heuristic;solute:collision
C/C=C/C=C,CNC=O,24.0,2.284421122,molecule_train.csv,True,C=C/C=C/C,C=CC=CC,True,True,rdkit+heuristic,True,solute_iso_collision_0002,True,CNC=O,CNC=O,False,False,none,False,,True,solute:rdkit;solute:heuristic;solute:collision
C/C=C\C,CCC(CC)O,-3.13,1.118414916,molecule_train.csv,True,C/C=C\C,CC=CC,True,True,rdkit+heuristic,True,solute_iso_collision_0001,True,CCC(O)CC,CCC(O)CC,False,False,none,False,,True,solute:rdkit;solute:heuristic;solute:collision
C(=C/Cl)\Cl,CCCCCCCCCCCCCCCCO,93.9,-0.133531393,molecule_train.csv,True,Cl/C=C/Cl,ClC=CCl,True,True,rdkit+heuristic,True,solute_iso_collision_0003,True,CCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCCO,False,False,none,False,,True,solute:rdkit;solute:heuristic;solute:collision
C/C=C\C,CC1=CC(=CC=C1)C,-23.17,0.285178942,molecule_train.csv,True,C/C=C\C,CC=CC,True,True,rdkit+heuristic,True,solute_iso_collision_0001,True,Cc1cccc(C)c1,Cc1cccc(C)c1,False,False,none,False,,True,solute:rdkit;solute:heuristic;solute:collision
CCO,CCCCCCCC/C=C\CCCCCCCC(=O)O,85.13,0.323531725,molecule_train.csv,True,CCO,CCO,False,False,none,False,,True,CCCCCCCC/C=C\CCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,True,True,rdkit+heuristic,True,solvent_iso_collision_0002,True,solvent:rdkit;solvent:heuristic;solvent:collision
C/C=C\C=C,CCC(=O)NC,24.0,1.208960346,molecule_train.csv,True,C=C/C=C\C,C=CC=CC,True,True,rdkit+heuristic,True,solute_iso_collision_0002,True,CCC(=O)NC,CCC(=O)NC,False,False,none,False,,True,solute:rdkit;solute:heuristic;solute:collision
C(CCl)Cl,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,85.15,0.106160196,molecule_train.csv,True,ClCCCl,ClCCCl,False,False,none,False,,True,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,True,True,rdkit+heuristic,True,solvent_iso_collision_0001,True,solvent:rdkit;solvent:heuristic;solvent:collision
